id,year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes
84,2016,Bihar,10,Begusarai,191,Begusarai,64,108,2,13,24,17,139,3,5,51,91,421,59,313,40,54,37,1,5,23,18,12,0,65,0,184,0,0,51,0,153,0,1,2319
85,2016,Bihar,10,Pashchim Champaran,211,Bettiah,52,69,0,0,27,0,190,6,0,16,110,439,0,447,15,50,20,1,16,455,28,2,0,105,0,76,0,0,36,0,145,0,0,2215
86,2016,Bihar,10,Kaimur (Bhabua),200,Bhabhua,40,52,0,0,13,11,108,11,0,18,74,270,0,104,89,92,28,0,0,8,22,0,0,46,0,74,0,0,10,0,93,0,1,1646
87,2016,Bihar,10,Bhagalpur,192,Bhagalpur,89,15,0,0,47,7,212,9,7,35,182,675,0,308,31,104,156,3,7,7,18,15,0,50,0,76,0,0,28,0,127,0,0,1705
88,2016,Bihar,10,Bhojpur,193,Bhojpur,84,324,5,425,21,16,120,7,12,28,125,492,4,242,45,472,140,0,43,707,36,9,30,240,0,141,0,0,135,0,135,0,0,1568
89,2016,Bihar,10,Buxar,194,Buxar,48,56,0,2,16,0,67,3,0,12,129,408,0,355,19,98,0,1,27,391,18,7,0,51,0,78,0,0,17,0,150,0,0,879
90,2016,Bihar,10,Darbhanga,195,Darbhanga,38,192,4,0,31,22,331,4,0,27,121,521,0,615,120,140,11,0,0,309,23,0,18,207,0,125,0,0,25,0,123,0,3,2147
91,2016,Bihar,10,Gaya,196,Gaya,133,74,11,7,51,0,358,37,6,72,226,907,0,672,87,272,54,2,4,432,40,2,0,201,0,305,0,0,95,0,432,3,2,3072
92,2016,Bihar,10,Gopalganj,197,Gopalganj,76,350,9,84,6,11,139,11,5,30,58,305,0,129,21,82,78,1,22,122,36,0,0,79,0,102,0,0,35,0,44,0,2,1423
93,2016,Bihar,10,Munger,207,Jamalpur Railway,5,1,0,0,0,0,3,1,0,6,0,269,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,79
95,2016,Bihar,10,Jehanabad,199,Jehanabad,35,218,0,0,19,1,107,6,1,21,40,189,0,141,13,98,22,0,6,24,17,2,0,25,0,46,0,0,12,0,76,0,0,683
96,2016,Bihar,10,Katihar,201,Katihar,73,108,0,0,57,88,166,5,1,54,76,345,0,277,49,92,89,0,77,499,10,1,116,136,0,98,0,0,50,0,124,0,0,1078
97,2016,Bihar,10,Katihar,201,Katihar Railway,3,12,0,0,1,0,3,1,1,4,8,168,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,4,0,105
98,2016,Bihar,10,Khagaria,202,Khagaria,45,40,3,0,17,15,131,5,0,15,38,152,0,77,29,67,32,2,7,10,5,2,0,39,0,86,0,0,21,0,55,0,4,1549
99,2016,Bihar,10,Kishanganj,203,Kishanganj,40,31,1,0,40,3,115,5,0,6,42,288,111,78,4,47,28,5,15,13,6,0,0,46,0,47,0,0,10,0,45,1,1,725
100,2016,Bihar,10,Lakhisarai,204,Lakhisarai,25,170,0,14,10,14,75,3,0,18,48,78,49,87,78,89,88,1,12,78,8,0,0,51,0,58,8,0,9,0,37,8,0,466
101,2016,Bihar,10,Madhepura,205,Madhepura,41,2,0,0,14,4,121,4,0,25,59,231,0,263,7,60,15,0,2,0,9,0,0,32,0,60,0,0,9,0,38,0,0,1775
