id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
537,2016,Punjab,3,Ferozepur,31,Ferozepur,37,2,41,0,23,0,30,0,0,0,0,0,5,0,0,0,0,0,0
538,2016,Punjab,3,Patiala,41,G. R. P.,4,0,1,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0
539,2016,Punjab,3,Gurdaspur,32,Gurdaspur,10,4,23,1,18,0,44,0,6,0,0,0,1,0,1,0,0,0,0
540,2016,Punjab,3,Hoshiarpur,33,Hoshiarpur,34,7,38,6,24,0,119,0,14,0,0,0,0,0,0,0,0,0,0
541,2016,Punjab,3,Jalandhar,34,Jalandhar Rural,30,5,21,5,39,0,56,0,7,0,0,0,0,0,0,0,0,0,0
542,2016,Punjab,3,Kapurthala,35,Kapurthala,13,5,24,3,31,1,46,0,3,0,0,0,0,1,0,0,0,0,0
543,2016,Punjab,3,Ludhiana,36,Khanna,15,4,44,1,15,0,37,0,6,0,0,0,1,0,0,0,0,0,0
544,2016,Punjab,3,Ludhiana,36,Ludhiana Rural,14,1,39,1,32,0,23,0,2,0,0,0,0,0,0,0,0,0,0
545,2016,Punjab,3,Mansa,37,Mansa,20,3,16,2,19,0,31,0,13,2,0,0,2,0,0,0,0,0,0
546,2016,Punjab,3,Moga,38,Moga,23,2,34,1,31,0,33,0,7,0,0,0,6,0,0,0,0,0,0
547,2016,Punjab,3,Sri Muktsar Sahib,39,Muktsar,39,6,34,1,37,2,26,0,6,1,0,0,5,0,0,0,0,0,0
548,2016,Punjab,3,Pathankot,662,Pathankot,18,0,27,1,21,0,23,0,0,0,0,0,1,0,0,0,0,0,0
549,2016,Punjab,3,Patiala,41,Patiala,63,5,87,4,77,0,133,0,14,0,0,0,2,0,0,0,0,0,2
550,2016,Punjab,3,Rupnagar,42,Ropar,17,3,28,1,36,0,37,0,8,0,0,0,0,0,0,0,0,0,0
551,2016,Punjab,3,Sangrur,43,Sangrur,59,2,60,7,47,0,57,0,0,0,0,0,2,0,0,0,0,0,0
552,2016,Punjab,3,S.A.S Nagar,608,Sas Nagar,44,2,88,7,42,0,116,0,0,0,0,0,1,0,0,0,0,0,0
553,2016,Punjab,3,Shahid Bhagat Singh Nagar,40,Sbs Nagar,19,3,19,0,12,0,42,0,6,0,0,0,1,0,0,0,0,0,0
554,2016,Punjab,3,Tarn Taran,609,Tarn Taran,33,3,42,4,32,0,39,0,9,0,0,0,0,0,0,0,0,0,0
555,2016,Rajasthan,8,Ajmer,86,Ajmer,139,9,165,14,169,0,794,0,9,0,1,0,6,0,0,0,0,0,1
556,2016,Rajasthan,8,Alwar,87,Alwar,239,97,236,44,231,0,633,0,2,1,0,0,5,0,0,0,0,0,0
557,2016,Rajasthan,8,Banswara,88,Banswara,150,11,109,14,90,0,218,0,10,0,0,4,0,0,0,0,0,0,0
558,2016,Rajasthan,8,Baran,89,Baran,97,9,125,5,242,4,405,0,3,0,0,0,0,0,0,0,0,0,2
559,2016,Rajasthan,8,Barmer,90,Barmer,106,0,34,36,268,0,231,0,1,0,0,0,0,0,0,0,0,0,0
560,2016,Rajasthan,8,Bharatpur,91,Bharatpur,186,31,186,37,73,0,572,0,4,0,0,0,1,0,0,0,0,0,0
561,2016,Rajasthan,8,Bhilwara,92,Bhilwara,76,4,220,8,194,0,665,0,11,0,1,0,0,0,0,0,0,0,0
562,2016,Rajasthan,8,Bikaner,93,Bikaner,89,0,58,22,83,1,473,0,2,1,2,0,0,0,0,0,0,0,0
563,2016,Rajasthan,8,Bundi,94,Bundi,88,0,140,3,212,1,283,0,4,0,0,0,0,0,0,0,0,0,0
564,2016,Rajasthan,8,Chittorgarh,95,Chittorgarh,97,3,156,9,138,0,545,0,6,0,0,0,1,0,0,0,0,0,0
565,2016,Rajasthan,8,Churu,96,Churu,92,9,48,14,103,0,335,0,4,0,0,0,0,0,0,0,0,0,0
566,2016,Rajasthan,8,Dausa,97,Dausa,79,0,74,8,25,0,200,0,1,0,0,0,0,0,0,0,0,0,0
567,2016,Rajasthan,8,Dholpur,98,Dholpur,75,18,72,24,41,0,266,0,3,0,0,0,0,0,0,0,0,0,0
568,2016,Rajasthan,8,Dungarpur,99,Dungarpur,71,3,100,3,111,0,122,0,5,0,0,0,0,0,0,0,0,0,0
569,2016,Rajasthan,8,Ajmer,86,G.R.P.Ajmer,6,0,6,3,10,1,0,0,2,0,0,0,0,0,0,0,0,1,0
570,2016,Rajasthan,8,Jodhpur,107,G.R.P.Jodhpur,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,2016,Rajasthan,8,Ganganagar,100,Ganganagar,182,6,105,11,164,0,809,0,11,0,0,0,6,1,0,0,0,0,0
572,2016,Rajasthan,8,Hanumangarh,101,Hanumangarh,101,14,76,15,119,0,622,0,8,0,0,0,2,0,0,0,0,0,0
573,2016,Rajasthan,8,Jaipur,102,Jaipur East,71,1,82,11,71,0,206,0,4,1,0,0,2,1,0,0,0,0,0
574,2016,Rajasthan,8,Jaipur,102,Jaipur North,59,0,90,2,45,0,228,0,0,0,0,0,0,0,0,0,0,0,0
575,2016,Rajasthan,8,Jaipur (Gramin),783,Jaipur Rural,99,15,87,9,87,0,239,0,2,0,0,0,0,0,0,0,0,0,0
576,2016,Rajasthan,8,Jaipur,102,Jaipur South,85,3,66,9,76,0,215,0,1,0,0,0,2,0,0,0,0,0,0
577,2016,Rajasthan,8,Jaipur,102,Jaipur West,115,0,139,9,109,0,359,0,4,0,0,0,6,0,0,0,0,0,0
578,2016,Rajasthan,8,Jaisalmer,103,Jaisalmer,10,0,12,9,69,0,45,0,1,0,0,0,0,0,0,0,0,0,0
579,2016,Rajasthan,8,Jalore,104,Jalore,49,1,45,10,69,0,154,0,1,0,0,0,0,0,0,0,0,0,0
580,2016,Rajasthan,8,Jhalawar,105,Jhalawar,102,17,139,7,242,2,374,0,4,0,0,0,0,0,0,0,0,0,2
581,2016,Rajasthan,8,Jhunjhunu,106,Jhunjhunu,68,0,99,9,85,0,446,0,6,0,0,0,0,0,0,0,0,0,0
582,2016,Rajasthan,8,Jodhpur,107,Jodhpur East,27,0,62,5,93,3,202,0,1,0,1,0,4,0,0,0,0,0,0
583,2016,Rajasthan,8,Jodhpur,107,Jodhpur West,44,0,48,4,89,0,213,0,3,0,0,0,2,0,0,0,0,0,0
